CMDLINE C:\Users\huyng\AppData\Local\Programs\Python\Python39\python.exe tests/performance.py
MEM 1.699219 1681223234.7306
MEM 16.609375 1681223234.8448
MEM 25.222656 1681223234.9524
MEM 32.695312 1681223235.0601
MEM 39.621094 1681223235.1674
MEM 42.011719 1681223235.2765
MEM 42.523438 1681223235.3829
